Hotel Name,reviewtext,target_summary,generated_summary,rouge1,rouge2,rougeL,bleu,PriceINR,StarRating,Recall@10,NDCG@10
Hotel Meghalaya ,"Affordable, but slow Wi-Fi. Good breakfast. ","Affordable, but slow Wi-Fi. Good breakfast.","Affordable, but slow Wi-Fi. Good breakfast.",1,1,1,1,2000,3,0.1,0.333333333
Hotel Meghalaya ,"Basic rooms, but convenient city center location. ","Basic rooms, but convenient city center location.","Basic rooms, but convenient city center location.",1,1,1,1,2000,3,0,0
Dolphin Hotel ,"Family-friendly, courteous staff. Tasty meals at Horizon. ","Family-friendly, courteous staff. Tasty meals at Horizon.","Family-friendly, courteous staff. Tasty meals at Horizon.",1,1,1,1,3000,3,0.1,0.5
Dolphin Hotel ,"Decent stay, but limited dining options. ","Decent stay, but limited dining options.","Decent stay, but limited dining options.",1,1,1,1,3000,3,0.4,0.789042456
Dolphin Hotel ,"Great for families, kids loved the play area. ","Great for families, kids loved the play area.","Great for families, kids loved the play area.",1,1,1,1,3000,3,0,0
Dolphin Hotel ,"Convenient location, but rooms need upkeep. ","Convenient location, but rooms need upkeep.","Convenient location, but rooms need upkeep.",1,1,1,1,3000,3,0.3,0.845185062
Dolphin Hotel ,Good for short stays. Helpful staff. ,Good for short stays. Helpful staff.,Good for short stays. Helpful staff.,1,1,1,1,3000,3,0.1,0.5
Fortune Inn Sree Kanya ,Great for transit travelers. Professional staff. ,Great for transit travelers. Professional staff.,Great for transit travelers. Professional staff.,1,1,1,1,3500,4,0.4,0.593852431
Fortune Inn Sree Kanya ,Near railway station. Clean and spacious rooms. ,Near railway station. Clean and spacious rooms.,Near railway station. Clean and spacious rooms.,1,1,1,1,3500,4,0.1,0.315464877
Fortune Inn Sree Kanya ,Good for business events. Decent breakfast. ,Good for business events. Decent breakfast.,Good for business events. Decent breakfast.,1,1,1,1,3500,4,0.2,0.422789834
Fortune Inn Sree Kanya ,Slow Wi-Fi at times. Comfortable stay. ,Slow Wi-Fi at times. Comfortable stay.,Slow Wi-Fi at times. Comfortable stay.,1,1,1,1,3500,4,0.1,0.289064826
Fortune Inn Sree Kanya ,Excellent conference facilities. Great service. ,Excellent conference facilities. Great service.,Excellent conference facilities. Great service.Great service.,0.833333333,0.8,0.833333333,0.537284966,3500,4,0.1,0.356207187
Northway Hotel ,"Affordable, close to beach. Basic rooms. ","Affordable, close to beach. Basic rooms.","Affordable, close to beach. Basic rooms.",1,1,1,1,1500,3,0.3,0.531690095
Northway Hotel ,Good for budget travelers. Friendly staff. ,Good for budget travelers. Friendly staff.,Good for budget travelers. Friendly staff.,1,1,1,1,1500,3,0.2,0.65092093
Northway Hotel ,"Clean rooms, but unreliable Wi-Fi. ","Clean rooms, but unreliable Wi-Fi.","Clean rooms, but unreliable Wi-Fi.",1,1,1,1,1500,3,0.4,0.667707803
Northway Hotel ,Nice terrace. Great beach location. ,Nice terrace. Great beach location.,Nice terrace. Great beach location.,1,1,1,1,1500,3,0.5,0.725864132
Northway Hotel ,"Decent stay, but noisy road nearby. ","Decent stay, but noisy road nearby.","Decent stay, but noisy road nearby.",1,1,1,1,1500,3,0.7,0.981544154
Welcomhotel by ITC Hotels Devee Grand Bay,Breathtaking sea views. Exceptional staff. ,Breathtaking sea views. Exceptional staff.,Breathtaking sea views. Exceptional staff.,1,1,1,1,8000,5,0.9,1
Welcomhotel by ITC Hotels Devee Grand Bay,Near Ramakrishna Beach. Spacious rooms. ,Near Ramakrishna Beach. Spacious rooms.,Near Ramakrishna Beach. Spacious rooms.,1,1,1,1,8000,5,0.9,1
Welcomhotel by ITC Hotels Devee Grand Bay,"Excellent service, but room security could improve. ","Excellent service, but room security could improve.","Excellent service, but room security could improve.",1,1,1,1,8000,5,0.9,1
Welcomhotel by ITC Hotels Devee Grand Bay,"Luxurious stay, great restaurant food. ","Luxurious stay, great restaurant food.","Luxurious stay, great restaurant food.",1,1,1,1,8000,5,0.9,1
Welcomhotel by ITC Hotels Devee Grand Bay,Top-notch conference facilities. Reliable Wi-Fi. ,Top-notch conference facilities. Reliable Wi-Fi.,Top-notch conference facilities. Reliable Wi-Fi.,1,1,1,1,8000,5,0.9,1
Four Points by Sheraton ,Romantic package was amazing. Great poolside views. ,Romantic package was amazing. Great poolside views.,Romantic package was amazing. Great poolside views.,1,1,1,1,5000,5,0.1,0.5
Four Points by Sheraton ,"Top-notch spa, but slow check-in process. ","Top-notch spa, but slow check-in process.","Top-notch spa, but slow check-in process.",1,1,1,1,5000,5,0.5,0.981848324
Four Points by Sheraton ,"Near beaches, friendly staff. Great location. ","Near beaches, friendly staff. Great location.","Near beaches, friendly staff. Great location.",1,1,1,1,5000,5,0.7,0.987831635
Four Points by Sheraton ,"Comfortable rooms, but high food prices. ","Comfortable rooms, but high food prices.","Comfortable rooms, but high food prices.",1,1,1,1,5000,5,0.3,0.479026293
Four Points by Sheraton ,Perfect for couples. Stunning balcony view. ,Perfect for couples. Stunning balcony view.,Perfect for couples. Stunning balcony view.,1,1,1,1,5000,5,0.2,0.580279211
Best Western Plus Tejvivaan,"Kids enjoyed the play area, great value.","Kids enjoyed the play area, great value.","Kids enjoyed the play area, great value.",1,1,1,1,3500,4,0,0
Best Western Plus Tejvivaan,"Convenient location, but rooms small.","Convenient location, but rooms small.","Convenient location, but rooms small.",1,1,1,1,3500,4,0.1,0.5
Best Western Plus Tejvivaan,"Decent stay, nothing extraordinary.","Decent stay, nothing extraordinary.","Decent stay, nothing extraordinary. """,1,1,1,0.668740305,3500,4,0.1,0.333333333
Best Western Plus Tejvivaan,"Clean and cozy, good for short stays.","Clean and cozy, good for short stays.","Clean and cozy, good for short stays.",1,1,1,1,3500,4,0,0
Best Western Plus Tejvivaan,"Affordable, staff helpful.","Affordable, staff helpful.","Affordable, staff helpful.",1,1,1,1.22E-77,3500,4,0.2,0.501265835
"Keys Lite by Lemon Tree Hotels, Sreekanya","Great for solo travelers, clean rooms.","Great for solo travelers, clean rooms.","Great for solo travelers, clean rooms.",1,1,1,1,2800,3.9,0.1,0.289064826
"Keys Lite by Lemon Tree Hotels, Sreekanya","Good for budget, but limited amenities.","Good for budget, but limited amenities.","Good for budget, but limited amenities.",1,1,1,1,2800,3.9,0.1,1
"Keys Lite by Lemon Tree Hotels, Sreekanya","Comfortable, breakfast buffet average.","Comfortable, breakfast buffet average.","Comfortable, breakfast buffet average.",1,1,1,1,2800,3.9,0.1,0.630929754
"Keys Lite by Lemon Tree Hotels, Sreekanya","Cozy stay, good service for price.","Cozy stay, good service for price.","Cozy stay, good service for price.",1,1,1,1,2800,3.9,0.2,0.37066569
"Keys Lite by Lemon Tree Hotels, Sreekanya","Convenient location, value for money.","Convenient location, value for money.","Convenient location, value for money.",1,1,1,1,2800,3.9,0,0
Hotel Daspalla,"Comfortable stay, great food options.","Comfortable stay, great food options.","Comfortable stay, great food options.",1,1,1,1,4000,4.2,0.2,0.605260244
Hotel Daspalla,"Good for work, but noisy at night.","Good for work, but noisy at night.","Good for work, but noisy at night.",1,1,1,1,4000,4.2,0.4,0.905218162
Hotel Daspalla,"Spacious rooms, kids enjoyed dining.","Spacious rooms, kids enjoyed dining.","Spacious rooms, kids enjoyed dining.",1,1,1,1,4000,4.2,0.1,0.289064826
Hotel Daspalla,"Romantic ambiance, good service.","Romantic ambiance, good service.","Romantic ambiance, good service.",1,1,1,1,4000,4.2,0,0
Hotel Daspalla,"Clean, convenient, worth the price.","Clean, convenient, worth the price.","Clean, convenient, worth the price.",1,1,1,1,4000,4.2,0.4,0.970928643
Hotel Rockdale Clarks Inn Suites,"Great for families, clean and modern.","Great for families, clean and modern.","Great for families, clean and modern.",1,1,1,1,4500,4.1,0.2,0.422789834
Hotel Rockdale Clarks Inn Suites,"Good location, but slow check-in.","Good location, but slow check-in.","Good location, but slow check-in.",1,1,1,1,4500,4.1,0.6,0.987671279
Hotel Rockdale Clarks Inn Suites,"Comfortable stay, average amenities.","Comfortable stay, average amenities.","Comfortable stay, average amenities. """,1,1,1,0.668740305,4500,4.1,0.5,1
Hotel Rockdale Clarks Inn Suites,"Nice for couples, good dining options.","Nice for couples, good dining options.","Nice for couples, good dining options.",1,1,1,1,4500,4.1,0.5,1
Hotel Rockdale Clarks Inn Suites,"Clean and modern, good value.","Clean and modern, good value.","Clean and modern, good value. """,1,1,1,0.759835686,4500,4.1,0.1,0.356207187
Hotel Five Elements,"Modern rooms, excellent service.","Modern rooms, excellent service.","Modern rooms, excellent service.",1,1,1,1,3500,4.2,0.1,0.430676558
Hotel Five Elements,"Good for meetings, but parking limited.","Good for meetings, but parking limited.","Good for meetings, but parking limited.",1,1,1,1,3500,4.2,0.1,0.356207187
Hotel Five Elements,"Spacious, family-friendly amenities.","Spacious, family-friendly amenities.","Spacious, family-friendly amenities.",1,1,1,1.22E-77,3500,4.2,0.1,0.5
Hotel Five Elements,"Romantic stay, nice ambiance.","Romantic stay, nice ambiance.","Romantic stay, nice ambiance.",1,1,1,1,3500,4.2,0,0
Hotel Five Elements,"Clean and convenient, good value.","Clean and convenient, good value.","Clean and convenient, good value. """,1,1,1,0.759835686,3500,4.2,0,0
Palm Beach Hotel & Resort,"Beachfront luxury, relaxing vacation.","Beachfront luxury, relaxing vacation.","Beachfront luxury, relaxing vacation.",1,1,1,1,4000,4,0.5,1
Palm Beach Hotel & Resort,"Good location, but Wi-Fi issues.","Good location, but Wi-Fi issues.","Good location, but Wi-Fi issues.",1,1,1,1,4000,4,0,0
Palm Beach Hotel & Resort,"Great for families, pool was fun.","Great for families, pool was fun.","Great for families, pool was fun.",1,1,1,1,4000,4,0.2,0.877215315
Palm Beach Hotel & Resort,"Romantic beach resort, loved it.","Romantic beach resort, loved it.","Romantic beach resort, loved it.",1,1,1,1,4000,4,0.1,0.430676558
Palm Beach Hotel & Resort,"Affordable beach stay, good value.","Affordable beach stay, good value.","Affordable beach stay, good value.",1,1,1,1,4000,4,0,0
Bheemili Resort-Managed by Accor Hotels,"Luxury beach resort, amazing experience.","Luxury beach resort, amazing experience.","Luxury beach resort, amazing experience.",1,1,1,1,5500,4.4,0.3,0.921786879
Bheemili Resort-Managed by Accor Hotels,"Good for retreats, but remote location.","Good for retreats, but remote location.","Good for retreats, but remote location.",1,1,1,1,5500,4.4,0.7,0.97992148
Bheemili Resort-Managed by Accor Hotels,"Family loved the beach, excellent.","Family loved the beach, excellent.","Family loved the beach, excellent.",1,1,1,1,5500,4.4,0.5,0.975788055
Bheemili Resort-Managed by Accor Hotels,"Romantic paradise, stunning views.","Romantic paradise, stunning views.","Romantic paradise, stunning views.",1,1,1,1,5500,4.4,0.6,1
Bheemili Resort-Managed by Accor Hotels,"Relaxing solo retreat, top-notch.","Relaxing solo retreat, top-notch.","Relaxing solo retreat, top-notch.",1,1,1,1,5500,4.4,0.7,0.987831635
Hotel Rockdale,"Modern rooms, excellent amenities.","Modern rooms, excellent amenities.","Modern rooms, excellent amenities.",1,1,1,1,4000,4,0.3,0.44573417
Hotel Rockdale,"Good for business, reliable Wi-Fi.","Good for business, reliable Wi-Fi.","Good for business, reliable Wi-Fi.",1,1,1,1,4000,4,0,0
Hotel Rockdale,"Family-friendly, spacious rooms.","Family-friendly, spacious rooms.","Family-friendly, spacious rooms.Family",0.888888889,0.857142857,0.888888889,1.13E-154,4000,4,0.1,0.356207187
Hotel Rockdale,"Romantic stay, nice ambiance.","Romantic stay, nice ambiance.","Romantic stay, nice ambiance.",1,1,1,1,4000,4,0,0
Hotel Rockdale,"Clean and convenient, good value.","Clean and convenient, good value.","Clean and convenient, good value. """,1,1,1,0.759835686,4000,4,0,0
Bay View Hotel,"Amazing sea views, relaxing stay.","Amazing sea views, relaxing stay.","Amazing sea views, relaxing stay. """,1,1,1,0.759835686,3800,4.1,0.1,0.430676558
Bay View Hotel,"Convenient, but rooms need maintenance.","Convenient, but rooms need maintenance.","Convenient, but rooms need maintenance.",1,1,1,1,3800,4.1,0.3,0.666373247
Bay View Hotel,"Family enjoyed the beach, decent.","Family enjoyed the beach, decent.","Family enjoyed the beach, decent.Good.",0.909090909,0.888888889,0.909090909,0.668740305,3800,4.1,0,0
Bay View Hotel,"Romantic views, good service.","Romantic views, good service.","Romantic views, good service. """,1,1,1,0.668740305,3800,4.1,0.1,0.430676558
Bay View Hotel,"Clean and affordable, good for solo.","Clean and affordable, good for solo.","Clean and affordable, good for solo.",1,1,1,1,3800,4.1,0.1,0.289064826
Haritha Beach Resort at Rushikonda,"Modern beach resort, fantastic views.","Modern beach resort, fantastic views.","Modern beach resort, fantastic views. """,1,1,1,0.759835686,4800,4.3,0.2,0.580279211
Haritha Beach Resort at Rushikonda,"Good for work, but Wi-Fi inconsistent.","Good for work, but Wi-Fi inconsistent.","Good for work, but Wi-Fi inconsistent.",1,1,1,1,4800,4.3,0.2,0.919720789
Haritha Beach Resort at Rushikonda,"Great for families, pool was a hit.","Great for families, pool was a hit.","Great for families, pool was a hit.",1,1,1,1,4800,4.3,0.5,1
Haritha Beach Resort at Rushikonda,"Romantic beach escape, excellent food.","Romantic beach escape, excellent food.","Romantic beach escape, excellent food.",1,1,1,1,4800,4.3,0.6,0.993078317
Haritha Beach Resort at Rushikonda,"Relaxing and modern, great for solo stays.","Relaxing and modern, great for solo stays.","Relaxing and modern, great for solo stays.",1,1,1,1,4800,4.3,0,0
Gadiraju Palace Convention Centre & Hotel,"Great location, excellent conference facilities.","Great location, excellent conference facilities.","Great location, excellent conference facilities. """,1,1,1,0.759835686,4800,4,0.5,0.817132545
Gadiraju Palace Convention Centre & Hotel,"Perfect for events, but rooms small.","Perfect for events, but rooms small.","Perfect for events, but rooms small.",1,1,1,1,4800,4,0.7,0.72115586
Gadiraju Palace Convention Centre & Hotel,"Good for families, near attractions.","Good for families, near attractions.","Good for families, near attractions. """,1,1,1,0.759835686,4800,4,0.8,0.961308576
Gadiraju Palace Convention Centre & Hotel,"Romantic stay, good service.","Romantic stay, good service.","Romantic stay, good service. """,1,1,1,0.668740305,4800,4,0.2,0.570641719
Gadiraju Palace Convention Centre & Hotel,"Comfortable, great for short stays.","Comfortable, great for short stays.","Comfortable, great for short stays.",1,1,1,1,4800,4,0.7,0.981544154
Treebo Mvp Grand,"Budget-friendly, near Kailasagiri.","Budget-friendly, near Kailasagiri.","Budget-friendly, near Kailasagiri.",1,1,1,1.22E-77,2800,3.9,0.1,0.289064826
Treebo Mvp Grand,"Decent for work, but limited facilities.","Decent for work, but limited facilities.","Decent for work, but limited facilities.",1,1,1,1,2800,3.9,0.1,1
Treebo Mvp Grand,"Affordable, good for family trips.","Affordable, good for family trips.","Affordable, good for family trips.",1,1,1,1,2800,3.9,0.1,0.315464877
Treebo Mvp Grand,"Cozy and clean, nice for couples.","Cozy and clean, nice for couples.","Cozy and clean, nice for couples.",1,1,1,1,2800,3.9,0.1,0.356207187
Treebo Mvp Grand,"Great value, ideal for solo travelers.","Great value, ideal for solo travelers.","Great value, ideal for solo travelers.",1,1,1,1,2800,3.9,0.1,0.289064826
Quality Inn Bez Krishnaa,"Comfortable stay, great for city exploration.","Comfortable stay, great for city exploration.","Comfortable stay, great for city exploration.",1,1,1,1,3200,3.8,0.2,0.388958094
Quality Inn Bez Krishnaa,"Good for work, but rooms need updating.","Good for work, but rooms need updating.","Good for work, but rooms need updating.",1,1,1,1,3200,3.8,0,0
Quality Inn Bez Krishnaa,"Decent for families, central location.","Decent for families, central location.","Decent for families, central location.",1,1,1,1,3200,3.8,0.1,0.301029996
Quality Inn Bez Krishnaa,"Nice ambiance, good for couples.","Nice ambiance, good for couples.","Nice ambiance, good for couples.",1,1,1,1,3200,3.8,0,0
Quality Inn Bez Krishnaa,"Affordable and convenient, solo-friendly.","Affordable and convenient, solo-friendly.","Affordable and convenient, solo-friendly.",1,1,1,1,3200,3.8,0,0
Agarwal Residency,"Convenient location, good value.","Convenient location, good value.","Convenient location, good value.",1,1,1,1,2600,3.6,0,0
Agarwal Residency,"Decent for business, but small rooms.","Decent for business, but small rooms.","Decent for business, but small rooms.",1,1,1,1,2600,3.6,0.1,0.333333333
Agarwal Residency,"Good for families, clean and simple.","Good for families, clean and simple.","Good for families, clean and simple.",1,1,1,1,2600,3.6,0.1,0.315464877
Agarwal Residency,Nice for a short romantic stay.,Nice for a short romantic stay.,"Nice for a short romantic stay. """,1,1,1,0.809106712,2600,3.6,0.1,0.430676558
Agarwal Residency,Affordable and convenient for solo trips.,Affordable and convenient for solo trips.,Affordable and convenient for solo trips.,1,1,1,1,2600,3.6,0,0
HOTELPEACOCKINN,"Luxurious stay, excellent amenities.","Luxurious stay, excellent amenities.","Luxurious stay, excellent amenities.",1,1,1,1,3000,4.5,0.1,0.630929754
HOTELPEACOCKINN,"Great for meetings, but pricey.","Great for meetings, but pricey.","Great for meetings, but pricey.",1,1,1,1,3000,4.5,0.3,0.499800561
HOTELPEACOCKINN,"Spacious rooms, family-friendly.","Spacious rooms, family-friendly.","Spacious rooms, family-friendly.",1,1,1,1.22E-77,3000,4.5,0.1,0.315464877
HOTELPEACOCKINN,Perfect for a luxurious getaway.,Perfect for a luxurious getaway.,Perfect for a luxurious getaway.Content,0.909090909,0.888888889,0.909090909,0.668740305,3000,4.5,0.4,0.904717229
HOTELPEACOCKINN,"Modern and comfortable, great for solo.","Modern and comfortable, great for solo.","Modern and comfortable, great for solo.",1,1,1,1,3000,4.5,0.2,0.422789834
House of Punjab,"Vibrant ambiance, authentic Punjabi food.","Vibrant ambiance, authentic Punjabi food.","Vibrant ambiance, authentic Punjabi food.",1,1,1,1,1400,4.4,0.9,0.984218487
House of Punjab,"Good for client dinners, but crowded.","Good for client dinners, but crowded.","Good for client dinners, but crowded.",1,1,1,1,1400,4.4,0.8,0.974845936
House of Punjab,"Kids loved the naans, great vibe.","Kids loved the naans, great vibe.","Kids loved the naans, great vibe.",1,1,1,1,1400,4.4,0.8,0.986043332
House of Punjab,"Romantic setting, tasty tandoori.","Romantic setting, tasty tandoori.","Romantic setting, tasty tandoori.",1,1,1,1,1400,4.4,1,1
House of Punjab,"Quick service, perfect for solo dining.","Quick service, perfect for solo dining.","Quick service, perfect for solo dining.",1,1,1,1,1400,4.4,0.9,0.984218487
Elite Homes Guest Rooms,"Quiet location, great for temple visits.","Quiet location, great for temple visits.","Quiet location, great for temple visits.",1,1,1,1,2300,3.5,0.3,0.519301112
Elite Homes Guest Rooms,"Basic for work, limited amenities.","Basic for work, limited amenities.","Basic for work, limited amenities. """,1,1,1,0.759835686,2300,3.5,0.1,0.315464877
Elite Homes Guest Rooms,"Good for families, clean and simple.","Good for families, clean and simple.","Good for families, clean and simple.",1,1,1,1,2300,3.5,0,0
Elite Homes Guest Rooms,Nice for a peaceful couple's stay.,Nice for a peaceful couple's stay.,Nice for a peaceful couple's stay.,1,1,1,1,2300,3.5,0,0
Elite Homes Guest Rooms,"Budget-friendly, ideal for solo trips.","Budget-friendly, ideal for solo trips.","Budget-friendly, ideal for solo trips.",1,1,1,1,2300,3.5,0,0
Hotel Searock,"Great beach proximity, comfortable stay.","Great beach proximity, comfortable stay.","Great beach proximity, comfortable stay.",1,1,1,1,3000,3.8,0,0
Hotel Searock,"Good location, but Wi-Fi inconsistent.","Good location, but Wi-Fi inconsistent.","Good location, but Wi-Fi inconsistent.",1,1,1,1,3000,3.8,0.1,0.5
Hotel Searock,"Family enjoyed the beach access, clean.","Family enjoyed the beach access, clean.","Family enjoyed the beach access, clean.",1,1,1,1,3000,3.8,0,0
Hotel Searock,"Romantic stay, nice sea views.","Romantic stay, nice sea views.","Romantic stay, nice sea views.",1,1,1,1,3000,3.8,0.1,0.386852807
Hotel Searock,"Great for solo travelers, good value.","Great for solo travelers, good value.","Great for solo travelers, good value.",1,1,1,1,3000,3.8,0,0
The Central Suites - Visakhapatnam Railway Station,"Great location near station, clean rooms.","Great location near station, clean rooms.","Great location near station, clean rooms.",1,1,1,1,2400,3.6,0,0
The Central Suites - Visakhapatnam Railway Station,"Convenient for work, but noisy at night.","Convenient for work, but noisy at night.","Convenient for work, but noisy at night.",1,1,1,1,2400,3.6,0.2,0.397808801
The Central Suites - Visakhapatnam Railway Station,"Good for families, budget-friendly.","Good for families, budget-friendly.","Good for families, budget-friendly.",1,1,1,1,2400,3.6,0,0
The Central Suites - Visakhapatnam Railway Station,"Cozy stay, perfect for a quick trip.","Cozy stay, perfect for a quick trip.","Cozy stay, perfect for a quick trip.",1,1,1,1,2400,3.6,0.2,0.79772289
The Central Suites - Visakhapatnam Railway Station,Affordable and convenient for solo travelers.,Affordable and convenient for solo travelers.,Affordable and convenient for solo travelers.,1,1,1,1,2400,3.6,0,0
Hotel Morya,"Central location, clean and comfortable.","Central location, clean and comfortable.","Central location, clean and comfortable. """,1,1,1,0.759835686,2600,3.7,0.1,0.630929754
Hotel Morya,"Good for business, but small rooms.","Good for business, but small rooms.","Good for business, but small rooms.",1,1,1,1,2600,3.7,0.1,0.315464877
Hotel Morya,"Family-friendly, good service.","Family-friendly, good service.","Family-friendly, good service. """,1,1,1,8.64E-78,2600,3.7,0,0
Hotel Morya,Nice for a short romantic stay.,Nice for a short romantic stay.,"Nice for a short romantic stay. """,1,1,1,0.809106712,2600,3.7,0.1,0.5
Hotel Morya,Convenient and affordable for solo trips.,Convenient and affordable for solo trips.,Convenient and affordable for solo trips.,1,1,1,1,2600,3.7,0,0
Rahul Guest House,"Affordable stay, close to transport.","Affordable stay, close to transport.","Affordable stay, close to transport.",1,1,1,1,2000,3.4,0.2,0.448643819
Rahul Guest House,"Basic for work, needs better Wi-Fi.","Basic for work, needs better Wi-Fi.","Basic for work, needs better Wi-Fi.",1,1,1,1,2000,3.4,0.4,0.722638715
Rahul Guest House,Good for budget family trips.,Good for budget family trips.,Good for budget family trips.Family trips.,0.833333333,0.8,0.833333333,0.537284966,2000,3.4,0.1,1
Rahul Guest House,Simple but decent for couples.,Simple but decent for couples.,Simple but decent for couples.,1,1,1,1,2000,3.4,0.1,0.301029996
Rahul Guest House,Great value for solo travelers.,Great value for solo travelers.,Great value for solo travelers.,1,1,1,1,2000,3.4,0,0
Swagan Home Stays,"Cozy homestay, feels like home.","Cozy homestay, feels like home.","Cozy homestay, feels like home.",1,1,1,1,2800,3.8,0.1,0.289064826
Swagan Home Stays,"Good for short work trips, but limited space.","Good for short work trips, but limited space.","Good for short work trips, but limited space.",1,1,1,1,2800,3.8,0.1,0.630929754
Swagan Home Stays,"Great for families, warm hospitality.","Great for families, warm hospitality.","Great for families, warm hospitality.",1,1,1,1,2800,3.8,0.2,0.693426404
Swagan Home Stays,Perfect for a cozy couple's retreat.,Perfect for a cozy couple's retreat.,Perfect for a cozy couple's retreat.,1,1,1,1,2800,3.8,0.1,0.301029996
Swagan Home Stays,"Comfortable and quiet, ideal for solo.","Comfortable and quiet, ideal for solo.","Comfortable and quiet, ideal for solo.",1,1,1,1,2800,3.8,0.1,0.430676558
Ambica Sea Green,"Fantastic beach views, clean rooms.","Fantastic beach views, clean rooms.","Fantastic beach views, clean rooms.",1,1,1,1,3500,4,0.2,0.482475559
Ambica Sea Green,"Good location, but Wi-Fi spotty.","Good location, but Wi-Fi spotty.","Good location, but Wi-Fi spotty.",1,1,1,1,3500,4,0.1,0.301029996
